Column1,company,experience,min_exp,max_exp,salary,location,joblisted(days_ago),postedin,rating,reviews_count,details,salary_data_provide_by,base_salary,max_salary,salary_disclosed,Exp_Pattern
Senior Data Analyst - Workforce Management/Forecasting - Consulting Firm (5-6 yrs),Huquo Consulting,5-6 Yrs,5,6,Not Disclosed,Delhi ncr,2,iimjobs,3.8,14,"Analytics, Data Analytics, Python",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst - SAS/SQL/Power BI  - Consulting Firm (4-10 yrs),Huquo Consulting,4-10 Yrs,4,10,Not Disclosed,Gurgaon / Gurugram,2,iimjobs,3.8,14,"Data Modeling, Data Analytics, Business Intelligence",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst - Machine/Deep Learning Algorithms (2-9 yrs),Huquo Consulting,2-9 Yrs,2,9,Not Disclosed,"Delhi ncr, Gurgaon / Gurugram",2,hirist,3.8,14,"Data Analytics, Data Analyst, Machine Learning",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst - Consulting Firm (1-3 yrs),HuQuo Consulting Pvt. Ltd.,1-3 Yrs,1,3,Not Disclosed,Delhi ncr,2,iimjobs,3.8,14,"Analytics, Data Analytics, Business Intelligence",Unknown,360000,1330000,0,Range (X-Y yrs)
Assistant Manager/Lead Assistant Manager - Data Analyst - SQL/Tableau/Alteryx (3-6 yrs),HuQuo Consulting Pvt. Ltd.,3-6 Yrs,3,6,Not Disclosed,Gurgaon / Gurugram,2,iimjobs,3.8,14,"Analytics, Data Analytics, SQL",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst/Senior Data Analyst - Data Modelling - Power BI/SQL/Snowflake (5-10 yrs),Huquo Consulting,5-10 Yrs,5,10,Not Disclosed,Gurgaon / Gurugram,2,iimjobs,3.8,14,"Data Visualization, Data Analytics, Analytics",Unknown,360000,1330000,0,Range (X-Y yrs)
Senior Data Analyst/Manager - Spark (5-8 yrs),HuQuo Consulting Pvt. Ltd.,5-8 Yrs,5,8,Not Disclosed,Gurgaon / Gurugram,2,hirist,3.8,14,"Data Analytics, Data Analyst, Spark",Unknown,360000,1330000,0,Range (X-Y yrs)
Power BI Developer - Data Analytics (3-7 yrs),Www.Huquo.com,3-7 Yrs,3,7,Not Disclosed,Gurgaon / Gurugram,2,hirist,3.8,14,"DAX Power BI, Power BI, Data Analytics",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst - ETL/Data Warehousing (3-6 yrs),Www.Huquo.com,3-6 Yrs,3,6,Not Disclosed,Gurgaon / Gurugram,2,hirist,3.8,14,"Data Analyst, Data Analytics, Data Warehousing",Unknown,360000,1330000,0,Range (X-Y yrs)
Senior Business Analyst - Data Analyst - BFS (1-3 yrs),HuQuo Consulting Pvt. Ltd.,1-3 Yrs,1,3,Not Disclosed,Gurgaon / Gurugram,2,iimjobs,3.8,14,"Data Mining, SQL, Python",Unknown,360000,1330000,0,Range (X-Y yrs)
