Column1,company,experience,min_exp,max_exp,salary,location,joblisted(days_ago),postedin,rating,reviews_count,details,salary_data_provide_by,base_salary,max_salary,salary_disclosed,Exp_Pattern
Data Analyst,GlowTouch Technologies,4-9 Yrs,4,9,Not Disclosed,Mangaluru,1460,Naukri,3.5,88,"Technical support, ITES, SQL",Unknown,360000,1330000,0,Range (X-Y yrs)
data analyst,infoveave,1-3 Yrs,1,3,₹ 4.5 - 8.5L/yr (AmbitionBox estimate),Bangalore / Bengaluru,365,Naukri,3.8,20,"Data validation, Usage, Data analysis",Estimated by Ambition Box,450000,850000,1,Range (X-Y yrs)
Data Analyst,Fashion TV India,1-4 Yrs,1,4,Not Disclosed,Mumbai,300,Naukri,3.4,179,"CRM, Supply chain management, Data analysis",Unknown,360000,1330000,0,Range (X-Y yrs)
Senior data analyst,Fashion TV India,5-6 Yrs,5,6,Not Disclosed,Mumbai,300,Naukri,3.4,179,"CRM, Sales operations, Supply chain management",Unknown,360000,1330000,0,Range (X-Y yrs)
Presales Data Analyst,DiLytics,3-10 Yrs,3,10,Not Disclosed,Hyderabad / Secunderabad,210,Naukri,4.3,11,"Data Analyst, RFP, IT services",Unknown,360000,1330000,0,Range (X-Y yrs)
Sr. Quality Analyst - Data,Assimilate Solutions,4-9 Yrs,4,9,Not Disclosed,"Noida, Gurgaon / Gurugram",730,Naukri,3.3,741,"BPO, Manager Quality Assurance, ETL testing",Unknown,360000,1330000,0,Range (X-Y yrs)
Sr. Data Analyst,Assimilate Solutions,5-10 Yrs,5,10,Not Disclosed,"Noida, Gurgaon / Gurugram",730,Naukri,3.3,741,"BPO, Excel, Coding",Unknown,360000,1330000,0,Range (X-Y yrs)
Senior Business Analyst (2-5 yrs),Zyoin group,2-5 Yrs,2,5,Not Disclosed,Bangalore / Bengaluru,27,hirist,4,1,"Business Analyst, Data Analyst, Data Visualization",Unknown,360000,1330000,0,Range (X-Y yrs)
IT Training Center,Excel PTP,4-9 Yrs,4,9,Not Disclosed,Ahmedabad,1095,Naukri,5,2,"Market research, Email marketing, Social media",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Visualization (Microsoft Power BI),Wim Plast,2-3 Yrs,2,3,Not Disclosed,Mumbai,730,Naukri,3.7,36,"Data collection, power bi, Data Analyst",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst (Microsoft Power BI),Wim Plast,3-7 Yrs,3,7,Not Disclosed,Mumbai,330,Naukri,3.7,36,"microsoft, power bi, Data Analyst",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst Intern,Wadhwani AI,0-1 Yrs,0,1,Not Disclosed,Mumbai,60,Naukri,3.1,18,"Healthcare, Analytical, Data management",Unknown,360000,1330000,0,Range (X-Y yrs)
Aezion - Senior Data Architect - Data Modeling (8-20 yrs),Aezion.Inc,8-20 Yrs,8,20,Not Disclosed,"Bangalore / Bengaluru, Mysuru / Mysore, Coimbatore",30,hirist,5,1,"Data Architect, Data Modeling, SQL",Unknown,360000,1330000,0,Range (X-Y yrs)
Senior Data Analyst,Ajackus Consulting,4-9 Yrs,4,9,Not Disclosed,India,28,Naukri,4,1,"Google Data Studio, Power Bi, MySQL",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Science Engineer - Machine Learning/NLP (5-10 yrs),Consulting Pandits,5-10 Yrs,5,10,Not Disclosed,Pune,60,hirist,5,2,"Data Science, Data Scientist, Machine Learning",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,Nurturing Green Retail Pvt. Ltd,4-9 Yrs,4,9,Not Disclosed,Noida,365,Naukri,3.8,25,"Macros, Data mining, Data collection",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,Cointab,1-3 Yrs,1,3,Not Disclosed,"Mumbai, Maldah / Malda",365,Naukri,4.1,14,C,Unknown,360000,1330000,0,Range (X-Y yrs)
MIS & Data Analysts,Innovative IT Initiatives,3-8 Yrs,3,8,Not Disclosed,Mohali,365,Naukri,3.6,30,"MIS, MS Access, Monitoring",Unknown,360000,1330000,0,Range (X-Y yrs)
Staff Business and Data Analyst - Power BI Developer,Service Now Planet,2-6 Yrs,2,6,Not Disclosed,Hyderabad / Secunderabad,30,Naukri,5,1,"SQL, Agile, Scrum",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,Eagle Forgings,0-1 Yrs,0,1,₹ 1.25 - 2L/yr,Noida,30,Naukri,2.5,6,Digital Marketing,Salary Listed by Company,125000,200000,1,Range (X-Y yrs)
Haleon - Data Analyst (4-8 yrs),Haleon,4-8 Yrs,4,8,Not Disclosed,Gurgaon / Gurugram,60,iimjobs,3.5,68,"Analytics, Data Analytics, Consulting - Healthcare",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,InOpen Technologies,1-3 Yrs,1,3,Not Disclosed,Hyderabad / Secunderabad,25,Naukri,2.9,2,"metadata, python, data analysis",Unknown,360000,1330000,0,Range (X-Y yrs)
Oracle HCM Data Analyst,AVTECH Software Services,1-7 Yrs,1,7,Not Disclosed,Remote,60,Naukri,4.5,4,"Data Analyst, Oracle, Data structures",Unknown,360000,1330000,0,Range (X-Y yrs)
Lead Data Analyst/Scientist Python Appzlogic,Appzlogic Mobility Solutions Pvt Ltd,6-8 Yrs,6,8,Not Disclosed,Noida,300,Naukri,3.8,26,"lead data analyst, Python, Coding",Unknown,360000,1330000,0,Range (X-Y yrs)
Consultant - Data Analyst,RGA,0-1 Yrs,0,1,Not Disclosed,Mumbai,365,Naukri,4.4,8,"Reconciliation, SAS, Underwriting",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,Response Informatics,1-4 Yrs,1,4,Not Disclosed,Hyderabad / Secunderabad,365,Naukri,3.9,19,"SQL, Actuarial, Continuous improvement",Unknown,360000,1330000,0,Range (X-Y yrs)
"Data Analyst, Reinsurance Administration",RGA,2-4 Yrs,2,4,Not Disclosed,Mumbai,90,Naukri,4.4,8,"Underwriting, Claims, Actuarial",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,Response Informatics,5-10 Yrs,5,10,Not Disclosed,"Chennai, Pune, New Delhi
													+4 more",90,Naukri,3.9,19,"Microstrategy, data visualization, Data analytics",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst - Python/Power BI (1-3 yrs),Info Origin Inc,1-3 Yrs,1,3,Not Disclosed,Bangalore / Bengaluru,90,hirist,4.2,11,"Data Analyst, Data Analytics, Python",Unknown,360000,1330000,0,Range (X-Y yrs)
Scrum Master,Appzlogic Mobility Solutions Pvt Ltd,10-20 Yrs,10,20,Not Disclosed,Noida,300,Naukri,3.8,26,"Workflow, Scrum, JIRA",Unknown,360000,1330000,0,Range (X-Y yrs)
Senior Data Analyst,RGA,2-4 Yrs,2,4,Not Disclosed,Mumbai,730,Naukri,4.4,8,"Data Management, Finance, Data Quality",Unknown,360000,1330000,0,Range (X-Y yrs)
GIS Data Analyst,Carifer Technologies Private Limited,1-3 Yrs,1,3,Not Disclosed,Erode,365,Naukri,4.4,8,"MS Office, Consulting, SAN",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,Intuitive Apps,6-11 Yrs,6,11,Not Disclosed,Gurgaon / Gurugram,240,Naukri,5,4,"Data analysis, UML, Cognos",Unknown,360000,1330000,0,Range (X-Y yrs)
Senior Business Data Analyst,NthInsight Technologies,3-8 Yrs,3,8,Not Disclosed,Bangalore / Bengaluru,30,Naukri,4,1,"Business Data Analyst, Analytics, Usage",Unknown,360000,1330000,0,Range (X-Y yrs)
Senior Data Analyst,Paradigm Inc,2-5 Yrs,2,5,Not Disclosed,Remote,30,Naukri,4,1,"Clinical research, Pharma, Analytical",Unknown,360000,1330000,0,Range (X-Y yrs)
Health Care Data Analyst / BA,Y&L Consulting,8-13 Yrs,8,13,₹ 12 - 22L/yr,Hyderabad / Secunderabad,30,Naukri,0,0,"data analysis, Power BI, SAS",Salary Listed by Company,1200000,2200000,1,Range (X-Y yrs)
Data Analyst SAS,Intileo Technologies,8-13 Yrs,8,13,Not Disclosed,"Bangalore / Bengaluru, Kolkata",0,Naukri,0,0,"Base SAS, Risk data, Pyspark",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst - US MNC (analytics),Aspyra Hr Services,3-8 Yrs,3,8,₹ 15 - 30L/yr,"Pune, Bangalore / Bengaluru",0,Naukri,0,0,"Business Intelligence, hql, Business Analytics",Salary Listed by Company,1500000,3000000,1,Range (X-Y yrs)
Data Analyst,Aliqan Services,7-10 Yrs,7,10,₹ 22.5 - 35L/yr,"Pune, Mumbai",10,Naukri,0,0,"Procurement, Data Loader, Fieldglass",Salary Listed by Company,2250000,3500000,1,Range (X-Y yrs)
Data Analyst- Biostatistics- cancer,Odigoshub,8-12 Yrs,8,12,₹ 13 - 20L/yr,Navi Mumbai,1,Naukri,0,0,"Pivot Table, R platform, Data Analytics",Salary Listed by Company,1300000,2000000,1,Range (X-Y yrs)
Business Analyst & Data Analyst Data Science Only Freshers Can Apply,Techgimini,0-1 Yrs,0,1,₹ 4.75 - 7L/yr,Pune,1,Naukri,0,0,"Crm Systems, ERP, System Analysis",Salary Listed by Company,475000,700000,1,Range (X-Y yrs)
Data Analyst - Power BI,Gramener IT Services,5-10 Yrs,5,10,Not Disclosed,Hyderabad / Secunderabad,300,Naukri,3.5,6,"SAP, GCP, CMIS",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst - Power BI,Gramener IT Services,5-10 Yrs,5,10,Not Disclosed,"Bangalore / Bengaluru, Coimbatore, Hyderabad / Secunderabad",300,Naukri,3.5,6,"Web designing, Web development, Usability testing",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst - Power BI,Gramener IT Services,5-9 Yrs,5,9,Not Disclosed,"Bangalore / Bengaluru, Coimbatore, Hyderabad / Secunderabad",300,Naukri,3.5,6,"Application development, MIN",Unknown,360000,1330000,0,Range (X-Y yrs)
APIC & DataPower Developer,Gramener IT Services,4-9 Yrs,4,9,Not Disclosed,"Chennai, Hyderabad / Secunderabad",365,Naukri,3.5,6,"Data modeling, Excel, SQL queries",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,iXie Gaming,2-4 Yrs,2,4,Not Disclosed,Hyderabad / Secunderabad,180,Naukri,4,14,"SQL, Monitoring, Python",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,iXie Gaming,2-4 Yrs,2,4,Not Disclosed,Hyderabad / Secunderabad,180,Naukri,4,14,"Data Analyst, SQL, CRM",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,iXie Gaming,2-7 Yrs,2,7,Not Disclosed,Hyderabad / Secunderabad,180,Naukri,4,14,"Data Analyst, SQL, CRM",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst - Tableau,iXie Gaming,4-9 Yrs,4,9,Not Disclosed,Chennai,180,Naukri,4,14,"SAN, SAS, SOC",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,iXie Gaming,4-9 Yrs,4,9,Not Disclosed,Chennai,150,Naukri,4,14,"SQL, CRM, Python",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,iXie Gaming,4-9 Yrs,4,9,Not Disclosed,Bangalore / Bengaluru,180,Naukri,4,14,"Data Analyst, CRM, Python",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,iXie Gaming,5-10 Yrs,5,10,Not Disclosed,Hyderabad / Secunderabad,180,Naukri,4,14,"Data Analyst, SQL, CRM",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,iXie Gaming,4-9 Yrs,4,9,Not Disclosed,Chennai,180,Naukri,4,14,"IT services, Computer science, tableau",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,iXie Gaming,1-3 Yrs,1,3,Not Disclosed,Bangalore / Bengaluru,240,Naukri,4,14,"CRM, SAN, SOC",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst - R/Python (3-7 yrs),RapidBraiins,3-7 Yrs,3,7,Not Disclosed,Remote,2,hirist,0,0,"Data Analyst, Data Analytics, R",Unknown,360000,1330000,0,Range (X-Y yrs)
Senior Data Analyst! Salary 60k,Indu Kumari,7-12 Yrs,7,12,₹ 3 - 6.5L/yr,Palwal,2,Naukri,0,0,"Google Data Studio, Google Analytics, Google scripts",Salary Listed by Company,300000,650000,1,Range (X-Y yrs)
Data Analyst,Gamenation,1-5 Yrs,1,5,₹ 2 - 4.5L/yr,Chennai,2,Naukri,1,1,"Communication Skills, Data Integrity, Report Development",Salary Listed by Company,200000,450000,1,Range (X-Y yrs)
Global Compensation Analyst,Jumpcloud,4-5 Yrs,4,5,Not Disclosed,"Pune, New Delhi, Mumbai
													+2 more",30,Naukri,3.6,4,"compensation analyst, HRIS, Data Analyst",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,Shell Infotech,5-10 Yrs,5,10,₹ 25 - 27.5L/yr,Bangalore Rural,2,Naukri,0,0,"Risk data, Basel, SAS",Salary Listed by Company,2500000,2750000,1,Range (X-Y yrs)
People Analytics Data Analyst,MetaforgeIT solutions,4-6 Yrs,4,6,₹ 12 - 14L/yr,Hyderabad / Secunderabad,2,Naukri,0,0,"Analytical Skills, Data Extraction, WorkDay",Salary Listed by Company,1200000,1400000,1,Range (X-Y yrs)
Con - Data Analyst ( Python + SQL - must ),Pylon Management Consulting,2-4 Yrs,2,4,₹ 3.6 - 16.1L/yr (AmbitionBox estimate),Bangalore Rural,2,Naukri,0,0,"power BI reporting, Excel, tableau reporting",Estimated by Ambition Box,360000,1610000,1,Range (X-Y yrs)
Data Analyst (Tableau/BI/CRMA),Databricks,4-9 Yrs,4,9,Not Disclosed,Bangalore / Bengaluru,60,Naukri,2.6,11,"SAN, Data analysis, Data modeling",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst with an Insurance Company,The Recruiters,1-3 Yrs,1,3,₹ 7 - 10L/yr,Kolkata,2,Naukri,0,0,"Power Bi, Data Analysis, Advanced Excel",Salary Listed by Company,700000,1000000,1,Range (X-Y yrs)
Senior Data Analyst,Quation Solutions Pvt Ltd,4-9 Yrs,4,9,Not Disclosed,Chennai,30,Naukri,4.4,2,"SQL, HTML, Business analysis",Unknown,360000,1330000,0,Range (X-Y yrs)
Wayfair - Lead Analyst - SQL/Python (4-8 yrs),Wayfair,4-8 Yrs,4,8,Not Disclosed,Bangalore / Bengaluru,60,hirist,4,12,"SQL, Hive, Spark",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Modeller/Data Analyst (5-12 yrs),VIDPRO CONSULTANCY SERVICES,5-12 Yrs,5,12,Not Disclosed,"Bangalore / Bengaluru, Kolkata, Chennai
													+2 more",3,hirist,0,0,"Data Warehousing, Data Modeling, Data Visualization",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst/Senior Data Analyst/Data Scientist - Bank (2-8 yrs),Steps,2-8 Yrs,2,8,Not Disclosed,Mumbai,3,iimjobs,0,0,"Data Analytics, Analytics, Data Scientist",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Integration Analyst - Talend/ETL (2-4 yrs),TalentXo,2-4 Yrs,2,4,Not Disclosed,Bangalore / Bengaluru,60,hirist,2.9,20,"Data Integration, Data Analyst, ETL",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst - NBFC (7-15 yrs),The BIG Advantage,7-15 Yrs,7,15,Not Disclosed,Mumbai,3,iimjobs,0,0,"Data Analytics, Analytics, Data Science",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst || Immediate Joiner,Hiresquad Resources,4-9 Yrs,4,9,₹ 4 - 8.5L/yr,"Chennai, Bangalore / Bengaluru",3,Naukri,0,0,"Power Bi, Alteryx, Tableau",Salary Listed by Company,400000,850000,1,Range (X-Y yrs)
Data Analyst,Xoom Inc,3-6 Yrs,3,6,Not Disclosed,Hyderabad / Secunderabad,3,Naukri,0,0,"Computer science, Data analysis, Machine learning",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,BOMBAY PLAY PRIVATE LIMITED,0-3 Yrs,0,3,Not Disclosed,Bangalore / Bengaluru,150,Naukri,4.5,6,C,Unknown,360000,1330000,0,Range (X-Y yrs)
Marketing Data Analyst,Headspin Technologies Private Limited,2-4 Yrs,2,4,Not Disclosed,Remote,300,Naukri,4,12,"Data Analyst, CRM, Data analysis",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,Herijobs,3-5 Yrs,3,5,₹ 2.5 - 3.75L/yr,Surat,3,Naukri,0,0,"Pivot Table, VLOOKUP, Data Analysis",Salary Listed by Company,250000,375000,1,Range (X-Y yrs)
Data Scientist/ Data Analyst,Keenedge Hr Solutions,8-10 Yrs,8,10,₹ 25 - 30L/yr,New Delhi,3,Naukri,0,0,"Tensorflow, Power Bi, Aws Cloud",Salary Listed by Company,2500000,3000000,1,Range (X-Y yrs)
Data Analyst,Hiresquad Resources,4-9 Yrs,4,9,₹ 7 - 17L/yr,"Chennai, Bangalore / Bengaluru",3,Naukri,0,0,"Power BI, Tableau, SQL",Salary Listed by Company,700000,1700000,1,Range (X-Y yrs)
Data Analyst - Sales,Enticement Infrastructure,4-8 Yrs,4,8,₹ 5 - 8.5L/yr,Noida,3,Naukri,0,0,"Sales Mis, MS Access, MIS",Salary Listed by Company,500000,850000,1,Range (X-Y yrs)
Tableau Developer - Business Intelligence (3-5 yrs),D Square Consulting Service,3-5 Yrs,3,5,Not Disclosed,"Mumbai, Pune",4,hirist,1,1,"Tableau, Qlikview, Power BI",Unknown,360000,1330000,0,Range (X-Y yrs)
Tableau Developer - Business Intelligence (3-5 yrs),D Square Consulting Service,3-5 Yrs,3,5,Not Disclosed,"Mumbai, Pune",4,hirist,1,1,"Tableau, Qlikview, Power BI",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst || Data Scientist,Allegis Global Solutions (india),4-9 Yrs,4,9,₹ 0.9 - 44L/yr (AmbitionBox estimate),"Bangalore / Bengaluru, Hyderabad / Secunderabad, Kolkata",4,Naukri,0,0,"sas, GCP, Alteryx",Estimated by Ambition Box,90000,4400000,1,Range (X-Y yrs)
Data Analyst,KR3 Information Systems,5-10 Yrs,5,10,Not Disclosed,Noida,4,Naukri,0,0,"Tableau dashboard, SQL Queries, Tableau",Unknown,360000,1330000,0,Range (X-Y yrs)
Reliability Data Analyst,PinnacleART,1-6 Yrs,1,6,Not Disclosed,Hyderabad / Secunderabad,4,Naukri,0,0,"Mining, Technical writing, Fixed assets",Unknown,360000,1330000,0,Range (X-Y yrs)
Big Data Analyst,500 Apps,1-4 Yrs,1,4,₹ 6.5 - 12L/yr,"Chennai, Pune, Delhi/Ncr
													+5 more",4,Naukri,1,1,"Big Data Analytics, Big Data Testing, Big Data",Salary Listed by Company,650000,1200000,1,Range (X-Y yrs)
Data Analyst,Meadowsweet Organics Llp,0-5 Yrs,0,5,₹ 5 - 12L/yr,"Pune, Bangalore / Bengaluru, Hyderabad / Secunderabad",4,Naukri,0,0,"Project Management, Data Cleaning and Preparation, Data Management",Salary Listed by Company,500000,1200000,1,Range (X-Y yrs)
Data Analyst - ABS Investment Research,MG GLOBAL,1-3 Yrs,1,3,Not Disclosed,Mumbai,30,Naukri,3.6,4,"Customer service, Auditing, Loans",Unknown,360000,1330000,0,Range (X-Y yrs)
Urgent | Data analyst- Goregaon,Topgear Consultants,4-9 Yrs,4,9,₹ 4.5 - 9.5L/yr,"Thane, Goregaon, Mumbai",4,Naukri,0,0,"Data Intelligence, SAS, Power Bi",Salary Listed by Company,450000,950000,1,Range (X-Y yrs)
Data Analyst,Orion Edutech,2-3 Yrs,2,3,₹ 2 - 3L/yr,Kolkata,4,Naukri,0,0,"Client Coordination, Data Management, Advanced Excel",Salary Listed by Company,200000,300000,1,Range (X-Y yrs)
Senior Data Analyst,Vision Unlimited,1-6 Yrs,1,6,₹ 3 - 6L/yr,"Mohali, Chandigarh",4,Naukri,0,0,"Business Analytics, Data Analysis, Advanced Excel",Salary Listed by Company,300000,600000,1,Range (X-Y yrs)
Technical Data Analyst,American InfoSource Business Solutions Pvt Ltd,1-3 Yrs,1,3,Not Disclosed,Vadodara,120,Naukri,3.4,47,"Financial services, SQL, Python",Unknown,360000,1330000,0,Range (X-Y yrs)
Clinical Data Analyst & Auditing Specialist,ZignaAI,5-10 Yrs,5,10,Not Disclosed,Hyderabad / Secunderabad,270,Naukri,4.8,4,"Clinical Data Analyst, Auditing, Billing",Unknown,360000,1330000,0,Range (X-Y yrs)
Medical Data Analyst,ARDEM Data Services Private Limited,1-3 Yrs,1,3,Not Disclosed,Lucknow,300,Naukri,3.3,116,"Data entry, Healthcare, Process improvement",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Modelling Developer,Redgrape Business Services,1-3 Yrs,1,3,Not Disclosed,Chennai,365,Naukri,3.8,15,"Data Analyst, Outbound, Telemarketing",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,HEXONICA,3-5 Yrs,3,5,Not Disclosed,Pune,1460,Naukri,4.3,7,"SQL, Troubleshooting, Data modeling",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst - Python/SQL Server (2-5 yrs),Huquo,2-5 Yrs,2,5,Not Disclosed,Gurgaon / Gurugram,60,hirist,3.8,14,"SQL Server, Data Analyst, Data Analytics",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst Intern,Mylaorganics,0-1 Yrs,0,1,Not Disclosed,Hyderabad / Secunderabad,5,Naukri,0,0,"Communication Skills, computer, Spoken English",Unknown,360000,1330000,0,Range (X-Y yrs)
Senior Business Analyst/Data Analyst,Live Connections,5-9 Yrs,5,9,Not Disclosed,Hyderabad / Secunderabad,5,Naukri,0,0,"Powerpoint, SQL",Unknown,700000,900000,0,Range (X-Y yrs)
Data Analyst,Yuva Hr Services,3-4 Yrs,3,4,₹ 5 - 8L/yr,Kolkata,5,Naukri,0,0,"SQL Server Analysis Services, SQL Server Development, SQL Server Reporting Services",Salary Listed by Company,500000,800000,1,Range (X-Y yrs)
R&D Process Data Engineer / Data Analyst (  Female ONLY  @ Oragadam ),Adonis Recruitment Consultants,3-8 Yrs,3,8,₹ 8 - 12L/yr,"Oragadam, Chennai, Sriperumbudur",5,Naukri,0,0,"Mathematics, Data Analyst, Statistics",Salary Listed by Company,800000,1200000,1,Range (X-Y yrs)
Assistant Manager (Data Analyst / Corporate Strategy) - Bangalore,Workoid Consultants.,2-7 Yrs,2,7,₹ 9 - 11L/yr,Bangalore / Bengaluru,5,Naukri,0,0,"Corporate Strategy, Business Strategy, Business Analyst",Salary Listed by Company,900000,1100000,1,Range (X-Y yrs)
"Data Analytics - Python, SQL  3+ years - Mumbai",Crescendo Global Leadership Hiring India Private L Imited,3-8 Yrs,3,8,Not Disclosed,Mumbai,5,Naukri,0,0,"Fintech, Bfsi, DASHBOARDING",Unknown,360000,1330000,0,Range (X-Y yrs)
Tariff Analyst - SQL/Python (2-4 yrs),TechTiv Software Solutions,2-4 Yrs,2,4,Not Disclosed,Pune,6,hirist,0,0,"Data Analyst, Data Analytics, Macros",Unknown,360000,1330000,0,Range (X-Y yrs)
Tableau Developer - Data Visualization (4-6 yrs),TechTiv Software Solutions,4-6 Yrs,4,6,Not Disclosed,"Mumbai, Pune",6,hirist,0,0,"Tableau, Data Analyst, Data Analytics",Unknown,360000,1330000,0,Range (X-Y yrs)
HR Analytics,LEVARAGE BUSINESS SOLUTIONS,4-8 Yrs,4,8,₹ 2.52 - 48L/yr (AmbitionBox estimate),Bangalore / Bengaluru,6,Naukri,0,0,"Excel, People Analytics, PowerBI",Estimated by Ambition Box,252000,4800000,1,Range (X-Y yrs)
Business Data Analyst,Aram Logistics Solutions,3-7 Yrs,3,7,Not Disclosed,Coimbatore,6,Naukri,0,0,"Power Bi, SAS, Data Cleansing",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst/Processing Specialist,Prakhar Software Solutions,2-5 Yrs,2,5,Not Disclosed,New Delhi,180,Naukri,3.3,54,"Data Analyst, Data analysis, Manager Quality Assurance",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,Prakhar Software Solutions,2-4 Yrs,2,4,Not Disclosed,New Delhi,240,Naukri,3.3,54,"Manager Quality Assurance, Data analysis, Analytical",Unknown,360000,1330000,0,Range (X-Y yrs)
"BI Data Analyst, Pan India",Lingaro Group,2-5 Yrs,2,5,Not Disclosed,Remote,730,Naukri,4.2,8,Data Analyst,Unknown,360000,1330000,0,Range (X-Y yrs)
BA Data Analyst,Ditstek Innovation Pvt. Ltd.,8-10 Yrs,8,10,Not Disclosed,Mohali,6,Naukri,0,0,"analytics reporting, Azure, data analysis",Unknown,360000,1330000,0,Range (X-Y yrs)
Senior Data Analyst | Celonis | Mumbai | MNC | Direct Payroll |,Innovation Consulting Services,4-7 Yrs,4,7,₹ 18 - 22.5L/yr,Mumbai,6,Naukri,0,0,"Visualizing, Celonis, Integration",Salary Listed by Company,1800000,2250000,1,Range (X-Y yrs)
Assistant Manager (Data Analyst) - Kolkata,Workoid Consultants.,2-7 Yrs,2,7,₹ 9 - 11L/yr,Kolkata,6,Naukri,0,0,"Corporate Strategy, Business Strategy, Business Analyst",Salary Listed by Company,900000,1100000,1,Range (X-Y yrs)
Jr. Data Analyst,Allime Tech Solutions,4-6 Yrs,4,6,Not Disclosed,Chennai,6,Naukri,0,0,"Performance tuning, Data analysis, metadata",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst - US Banking (4-8 yrs),Resourcetree,4-8 Yrs,4,8,Not Disclosed,"Mumbai, Bangalore / Bengaluru, Hyderabad / Secunderabad
													+3 more",7,iimjobs,0,0,"Analytics, Data Analytics, Data Management",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst - Insurance (2-6 yrs),Serving Skill,2-6 Yrs,2,6,Not Disclosed,Mumbai,7,iimjobs,0,0,"Analytics, Data Analytics, Consulting - BFSI",Unknown,360000,1330000,0,Range (X-Y yrs)
Senior Data Analyst - Tableau/Power BI (5-7 yrs),TalentXo,5-7 Yrs,5,7,Not Disclosed,"Bangalore / Bengaluru, Hyderabad / Secunderabad",60,hirist,2.9,20,"Data Analyst, SQL, MySQL",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,Xyle,0-1 Yrs,0,1,₹ 4 - 4.5L/yr,Gurgaon / Gurugram,7,Naukri,0,0,"Google Sheets, Communication Skills, MS Excel",Salary Listed by Company,400000,450000,1,Range (X-Y yrs)
BI Data Analyst - AVK,Avk tech solutions,5-10 Yrs,5,10,Not Disclosed,Hyderabad / Secunderabad,120,Naukri,4.7,4,"SQL, Python, Data analysis",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst Intern (UnPaid),Saveo,0-1 Yrs,0,1,Not Disclosed,Bangalore / Bengaluru,120,Naukri,3.3,57,"Procurement, Manager Quality Assurance, Supply chain",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,Essenware Private Limted,1-3 Yrs,1,3,Not Disclosed,Bangalore / Bengaluru,240,Naukri,4.7,4,"Data analysis, Statistical analysis, data science",Unknown,360000,1330000,0,Range (X-Y yrs)
Lead Data Analyst - Associate Tech Specialist,Essenware Private Limted,2-4 Yrs,2,4,Not Disclosed,Pune,270,Naukri,4.7,4,"Business process, Basic, Statistical analysis",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,Myyogateacher.com,2-2 Yrs,2,2,Not Disclosed,Bangalore / Bengaluru,330,Naukri,4.7,4,"SQL, Javascript, XML",Unknown,360000,1330000,0,Range (X-Y yrs)
SQL Data Analyst,Essenware Private Limted,7-12 Yrs,7,12,Not Disclosed,Hyderabad / Secunderabad,365,Naukri,4.7,4,"Data analysis, Payroll, Excel",Unknown,360000,1330000,0,Range (X-Y yrs)
